Form,Category,Severity,Issue,Evidence
frm_va_Auftragstamm,Optik,High,"Header/Toolbar violett und Button-Leiste fehlen",Screenshots/frm_va_Auftragstamm.html.jpg
frm_va_Auftragstamm,Struktur,High,"Tabs Einsatzliste/Antworten/Rechnung fehlen oder nicht sichtbar",Screenshots/frm_va_Auftragstamm.html.jpg
frm_va_Auftragstamm,Struktur,High,"Auftragsliste rechts anders/fehlende Spalten",Screenshots/frm_va_Auftragstamm.html.jpg
frm_MA_Mitarbeiterstamm,Optik,High,"Header-Buttons (Loeschen/Transfer/Listen) fehlen",Screenshots/frm_ma_Mitarbeiterstamm.html.jpg
frm_MA_Mitarbeiterstamm,Struktur,Medium,"Such-/Filterzeile (Suche/Filter/Zusatz) abweichend",Screenshots/frm_ma_Mitarbeiterstamm.html.jpg
frm_KD_Kundenstamm,Struktur,Medium,"Listen-Spalten Kontaktname/Vorname fehlen",Screenshots/frm_KD_Kundenstamm.html.jpg
frm_KD_Kundenstamm,Optik,Medium,"Header-Buttons/Abstaende weichen ab",Screenshots/frm_KD_Kundenstamm.html.jpg
frm_MA_VA_Schnellauswahl,Struktur,High,"Linkes Hauptmenue ersetzt durch Funktionsliste",Screenshots/frm_ma_va_Schnellauswah.html.jpg
frm_MA_VA_Schnellauswahl,Funktionen,High,"Listenbereiche leer oder nicht verifiziert (geplant/zugesagt)",Screenshots/frm_ma_va_Schnellauswah.html.jpg
frm_N_Dienstplanuebersicht,Funktionen,Critical,"Kalender-Tabelle/Daten fehlen komplett",Screenshots/frm_DP_Dienstplan_MA.html.jpg
frm_VA_Planungsuebersicht,Funktionen,Critical,"Planungstabelle bleibt leer",Screenshots/frm_DP_Dienstplan_Objekt.html.jpg
frm_all_backend,Integration,Critical,"Bridge-Import-Pfad war falsch (keine Datenbindung)",forms/_Codes/logic/*.js
